c0_win,d1_win,delta_win,joint_cell,knn_distance,nearest_train_distance,ood_decile,ood_score,outcome,sample_id,train_cell_count
0,0,0,5|fan_in|topo_7279e5f4b24a|float|diagnostic,0.2533,0.2247,7,0.2361,loss_to_loss,1b676365-4461-4b1a-b034-1e3f7906cb26,0
1,1,0,3|fan_in|topo_911586a55488|float|diagnostic,0.2228,0.2222,3,0.2224,win_to_win,1c055a2e-5491-46d7-aa89-b52d6c44c2d4,0
0,0,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.2978,0.2971,9,0.2973,loss_to_loss,1c5f421d-82a1-41ee-82f1-44efc7f013ff,0
0,0,0,4|fan_in|topo_30980484d6d7|float|diagnostic,0.2306,0.2282,6,0.2292,loss_to_loss,1d7544df-ed8c-43e9-abb0-f7bc6228e485,0
0,0,0,2|linear|topo_fdeb50f24873|float|diagnostic,0.1224,0.1204,1,0.1212,loss_to_loss,1dcdbf2f-b7ae-4293-ba08-46491c9a32eb,0
0,1,1,5|linear|topo_d228dd6db98a|float|diagnostic,0.1138,0.1111,0,0.1122,loss_to_win,1ddeac74-83ee-4119-9100-83133001b0f5,0
1,1,0,5|fan_in|topo_52c12a6fa235|float|diagnostic,0.3148,0.2272,8,0.2622,win_to_win,1ed76362-d447-432f-8693-6b77e9b03e61,0
1,1,0,5|fan_in|topo_7279e5f4b24a|float|diagnostic,0.2531,0.2247,7,0.236,win_to_win,1fdcc183-f3ca-49ca-b7d9-2a8466034136,0
1,1,0,5|fan_in|topo_2b041b861492|float|diagnostic,0.2279,0.2247,4,0.226,win_to_win,1ff34864-aaf4-45ad-9132-b96cc6de3c63,0
0,0,0,5|fan_in|topo_6011a58939eb|float|diagnostic,0.2279,0.2247,4,0.226,loss_to_loss,203ee03e-405f-4fed-9322-30d5b03a0364,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,2074df88-ff97-47f7-824b-f0dea1f34aa8,0
1,1,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,2092563a-202f-4984-b18b-d971f42a0f6e,0
0,0,0,6+|fan_in|topo_d8766ac6f63e|float|diagnostic,0.3143,0.2292,9,0.2632,loss_to_loss,2137514c-b124-42a1-a902-7b903792d2c7,0
0,0,0,2|linear|topo_fdeb50f24873|list|diagnostic,0.2358,0.2253,6,0.2295,loss_to_loss,2140a918-5ea0-4afb-bf9c-a6eaf5f74a1e,0
0,0,0,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,loss_to_loss,215a654f-549a-47c1-b1ce-772fc2910045,0
0,0,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.168,0.1216,3,0.1402,loss_to_loss,21611a3d-1312-4ca5-a55d-53ac907b8b95,0
0,1,1,2|linear|topo_fdeb50f24873|list|diagnostic,0.2307,0.2274,5,0.2287,loss_to_win,21d13279-bf86-4ffe-92fd-c65f65389f43,0
0,0,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,loss_to_loss,22040b6d-3b03-4762-a3bb-9688fac0fd97,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,win_to_win,22e261c5-6873-4bf8-9ad4-59bb993bed31,0
1,1,0,5|fan_in|topo_52c12a6fa235|float|diagnostic,0.313,0.2272,8,0.2615,win_to_win,236b5116-b02d-45f2-9a4e-18c83a35e11b,0
0,0,0,4|fan_in|topo_bd3dd51ec1a9|float|diagnostic,0.1202,0.1171,1,0.1183,loss_to_loss,23fb2017-6788-4dc2-a28a-403c6b473adb,0
0,1,1,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,loss_to_win,24a1101f-819c-4ca7-a4e4-e7dee741c4f6,0
1,1,0,2|linear|topo_fdeb50f24873|str|diagnostic,0.2338,0.232,6,0.2327,win_to_win,24ae4dc9-6d14-426d-8a74-b148e2546e4d,0
1,1,0,4|fan_in|topo_5b37b75596d2|float|diagnostic,0.2306,0.2282,6,0.2292,win_to_win,25558ef9-4c6d-4de8-b3a4-a1f4bf6eb7b9,0
1,1,0,3|linear|topo_1c8dbe1830b2|float|diagnostic,0.1669,0.1207,2,0.1391,win_to_win,25632e5c-db71-4cc7-a47b-b41c35a1d514,0
1,1,0,4|linear|topo_5296967693d8|float|diagnostic,0.231,0.2269,5,0.2285,win_to_win,2570300a-af5a-4e4c-baa7-a5da634ac67c,0
