accepted_effective_groups,candidate_prompt_count,dead_group_rate_before_filtering,effective_group_rate_after_filtering,global_step,n_cells_touched,refill_rounds,rejected_groups,rollout_utilization,sampler,sampler_entropy,target_reached
16,32,0.0,1.0,183,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,184,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,185,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,186,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,187,156,1,0,1.0,uniform,1.0,True
16,32,0.0588,0.9412,188,156,1,1,0.9412,uniform,1.0,True
16,32,0.0588,0.9412,189,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,190,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,191,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,192,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,193,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,194,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,195,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,196,156,1,0,1.0,uniform,1.0,True
16,32,0.0,1.0,197,156,1,0,1.0,uniform,1.0,True
16,32,0.1111,0.8889,198,156,1,2,0.8889,uniform,1.0,True
16,32,0.0588,0.9412,199,156,1,1,0.9412,uniform,1.0,True
16,32,0.0,1.0,0,14,1,0,1.0,dynamic_effective_group,1.0,True
16,32,0.0588,0.9412,1,22,1,1,0.9412,dynamic_effective_group,0.999799,True
16,32,0.1111,0.8889,2,32,1,2,0.8889,dynamic_effective_group,0.999593,True
16,32,0.0588,0.9412,3,38,1,1,0.9412,dynamic_effective_group,0.999345,True
16,32,0.0,1.0,4,46,1,0,1.0,dynamic_effective_group,0.999192,True
16,32,0.0588,0.9412,5,53,1,1,0.9412,dynamic_effective_group,0.99906,True
16,32,0.0,1.0,6,58,1,0,1.0,dynamic_effective_group,0.998928,True
16,32,0.0,1.0,7,64,1,0,1.0,dynamic_effective_group,0.998824,True
16,32,0.0,1.0,8,67,1,0,1.0,dynamic_effective_group,0.998723,True
16,32,0.0,1.0,9,71,1,0,1.0,dynamic_effective_group,0.998637,True
16,32,0.0,1.0,10,74,1,0,1.0,dynamic_effective_group,0.998554,True
16,32,0.0,1.0,11,78,1,0,1.0,dynamic_effective_group,0.99853,True
16,32,0.1111,0.8889,12,82,1,2,0.8889,dynamic_effective_group,0.998481,True
16,32,0.0,1.0,13,86,1,0,1.0,dynamic_effective_group,0.998339,True
16,32,0.1111,0.8889,14,87,1,2,0.8889,dynamic_effective_group,0.998297,True
16,32,0.0588,0.9412,15,91,1,1,0.9412,dynamic_effective_group,0.998155,True
16,32,0.0588,0.9412,16,91,1,1,0.9412,dynamic_effective_group,0.998073,True
16,32,0.1579,0.8421,17,95,1,3,0.8421,dynamic_effective_group,0.998061,True
16,32,0.0,1.0,18,96,1,0,1.0,dynamic_effective_group,0.997967,True
16,32,0.0,1.0,19,99,1,0,1.0,dynamic_effective_group,0.99794,True
16,32,0.0,1.0,20,101,1,0,1.0,dynamic_effective_group,0.997922,True
16,32,0.0588,0.9412,21,101,1,1,0.9412,dynamic_effective_group,0.997908,True
16,32,0.0,1.0,22,104,1,0,1.0,dynamic_effective_group,0.997848,True
16,32,0.0,1.0,23,105,1,0,1.0,dynamic_effective_group,0.997838,True
16,32,0.0588,0.9412,24,106,1,1,0.9412,dynamic_effective_group,0.997834,True
16,32,0.1111,0.8889,25,107,1,2,0.8889,dynamic_effective_group,0.997815,True
16,32,0.0588,0.9412,26,110,1,1,0.9412,dynamic_effective_group,0.997751,True
16,32,0.0,1.0,27,113,1,0,1.0,dynamic_effective_group,0.997733,True
16,32,0.0588,0.9412,28,116,1,1,0.9412,dynamic_effective_group,0.997733,True
16,32,0.0,1.0,29,119,1,0,1.0,dynamic_effective_group,0.997726,True
16,32,0.1111,0.8889,30,122,1,2,0.8889,dynamic_effective_group,0.997729,True
16,32,0.0588,0.9412,31,124,1,1,0.9412,dynamic_effective_group,0.997665,True
16,32,0.0588,0.9412,32,126,1,1,0.9412,dynamic_effective_group,0.99767,True
16,32,0.0588,0.9412,33,128,1,1,0.9412,dynamic_effective_group,0.997622,True
16,32,0.0,1.0,34,129,1,0,1.0,dynamic_effective_group,0.997617,True
16,32,0.0588,0.9412,35,130,1,1,0.9412,dynamic_effective_group,0.99763,True
16,32,0.0,1.0,36,132,1,0,1.0,dynamic_effective_group,0.997681,True
16,32,0.0588,0.9412,37,132,1,1,0.9412,dynamic_effective_group,0.9977,True
16,32,0.0,1.0,38,132,1,0,1.0,dynamic_effective_group,0.99772,True
16,32,0.0588,0.9412,39,133,1,1,0.9412,dynamic_effective_group,0.997784,True
16,32,0.0,1.0,40,133,1,0,1.0,dynamic_effective_group,0.99778,True
16,32,0.0588,0.9412,41,133,1,1,0.9412,dynamic_effective_group,0.997798,True
16,32,0.0588,0.9412,42,133,1,1,0.9412,dynamic_effective_group,0.997756,True
16,32,0.0,1.0,43,133,1,0,1.0,dynamic_effective_group,0.997747,True
16,32,0.0588,0.9412,44,134,1,1,0.9412,dynamic_effective_group,0.997789,True
16,32,0.0588,0.9412,45,136,1,1,0.9412,dynamic_effective_group,0.997788,True
16,32,0.0,1.0,46,138,1,0,1.0,dynamic_effective_group,0.99778,True
16,32,0.0588,0.9412,47,139,1,1,0.9412,dynamic_effective_group,0.997802,True
16,32,0.0,1.0,48,139,1,0,1.0,dynamic_effective_group,0.997825,True
16,32,0.0588,0.9412,49,140,1,1,0.9412,dynamic_effective_group,0.997837,True
16,32,0.0,1.0,50,142,1,0,1.0,dynamic_effective_group,0.997803,True
16,32,0.1111,0.8889,51,142,1,2,0.8889,dynamic_effective_group,0.997811,True
16,32,0.0,1.0,52,145,1,0,1.0,dynamic_effective_group,0.997754,True
16,32,0.0,1.0,53,145,1,0,1.0,dynamic_effective_group,0.99779,True
16,32,0.0588,0.9412,54,146,1,1,0.9412,dynamic_effective_group,0.997854,True
16,32,0.0,1.0,55,146,1,0,1.0,dynamic_effective_group,0.997878,True
16,32,0.0588,0.9412,56,146,1,1,0.9412,dynamic_effective_group,0.997897,True
16,32,0.0,1.0,57,146,1,0,1.0,dynamic_effective_group,0.997912,True
16,32,0.1111,0.8889,58,147,1,2,0.8889,dynamic_effective_group,0.997922,True
16,32,0.0,1.0,59,148,1,0,1.0,dynamic_effective_group,0.997867,True
16,32,0.0588,0.9412,60,149,1,1,0.9412,dynamic_effective_group,0.997882,True
16,32,0.0,1.0,61,150,1,0,1.0,dynamic_effective_group,0.997884,True
16,32,0.0588,0.9412,62,151,1,1,0.9412,dynamic_effective_group,0.997905,True
16,32,0.0,1.0,63,151,1,0,1.0,dynamic_effective_group,0.997913,True
16,32,0.0588,0.9412,64,151,1,1,0.9412,dynamic_effective_group,0.997947,True
16,32,0.0588,0.9412,65,152,1,1,0.9412,dynamic_effective_group,0.997964,True
16,32,0.0,1.0,66,153,1,0,1.0,dynamic_effective_group,0.99797,True
16,32,0.0,1.0,67,154,1,0,1.0,dynamic_effective_group,0.997992,True
16,32,0.2727,0.7273,68,154,1,6,0.7273,dynamic_effective_group,0.998078,True
16,32,0.0588,0.9412,69,154,1,1,0.9412,dynamic_effective_group,0.997951,True
16,32,0.0588,0.9412,70,156,1,1,0.9412,dynamic_effective_group,0.997963,True
16,32,0.0588,0.9412,71,156,1,1,0.9412,dynamic_effective_group,0.997943,True
16,32,0.0588,0.9412,72,156,1,1,0.9412,dynamic_effective_group,0.997967,True
16,32,0.0588,0.9412,73,156,1,1,0.9412,dynamic_effective_group,0.997978,True
16,21,0.0,1.0,74,156,1,0,1.0,dynamic_effective_group,0.997998,True
16,43,0.0588,0.9412,75,156,3,1,0.9412,dynamic_effective_group,0.998649,True
16,32,0.0,1.0,76,156,1,0,1.0,dynamic_effective_group,0.998628,True
16,32,0.1111,0.8889,77,156,1,2,0.8889,dynamic_effective_group,0.998705,True
16,32,0.0588,0.9412,78,156,1,1,0.9412,dynamic_effective_group,0.998659,True
16,32,0.0,1.0,79,156,1,0,1.0,dynamic_effective_group,0.998677,True
16,32,0.0,1.0,80,156,1,0,1.0,dynamic_effective_group,0.998757,True
16,32,0.0,1.0,81,156,1,0,1.0,dynamic_effective_group,0.99879,True
16,32,0.0588,0.9412,82,156,1,1,0.9412,dynamic_effective_group,0.998798,True
16,32,0.0588,0.9412,83,156,1,1,0.9412,dynamic_effective_group,0.99878,True
16,32,0.0588,0.9412,84,156,1,1,0.9412,dynamic_effective_group,0.998763,True
16,32,0.0,1.0,85,156,1,0,1.0,dynamic_effective_group,0.998753,True
16,32,0.0,1.0,86,156,1,0,1.0,dynamic_effective_group,0.998753,True
16,32,0.0588,0.9412,87,156,1,1,0.9412,dynamic_effective_group,0.998753,True
16,32,0.0,1.0,88,156,1,0,1.0,dynamic_effective_group,0.998762,True
16,32,0.0,1.0,89,156,1,0,1.0,dynamic_effective_group,0.998771,True
16,32,0.0,1.0,90,156,1,0,1.0,dynamic_effective_group,0.998772,True
16,32,0.0588,0.9412,91,156,1,1,0.9412,dynamic_effective_group,0.998829,True
16,32,0.0,1.0,92,156,1,0,1.0,dynamic_effective_group,0.99881,True
16,32,0.0588,0.9412,93,156,1,1,0.9412,dynamic_effective_group,0.998812,True
16,32,0.0,1.0,94,156,1,0,1.0,dynamic_effective_group,0.998786,True
16,32,0.1111,0.8889,95,156,1,2,0.8889,dynamic_effective_group,0.998807,True
16,32,0.0,1.0,96,156,1,0,1.0,dynamic_effective_group,0.998761,True
16,32,0.0,1.0,97,156,1,0,1.0,dynamic_effective_group,0.998762,True
16,32,0.0,1.0,98,156,1,0,1.0,dynamic_effective_group,0.998781,True
16,32,0.0588,0.9412,99,156,1,1,0.9412,dynamic_effective_group,0.998824,True
16,32,0.0588,0.9412,100,156,1,1,0.9412,dynamic_effective_group,0.998811,True
16,32,0.0588,0.9412,101,156,1,1,0.9412,dynamic_effective_group,0.998804,True
